"collection_id","reference","player_name","team_name","card_type","card_sub_type","season","image_url","is_rookie_card","rarity","serial_number","numbering","base_card_id","is_variant","variants"
"1","54","Arouna Sangante","Havre AC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","55","Christopher Opéri","Havre AC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","56","Lucas Chevalier","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","57","Jonathan David","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","58","Alan Virginius","LOSC Lille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","59","Adam Ounas","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","60","Rémy Cabella","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","61","Hákon Arnar Haraldsson","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","62","Benjamin André","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","63","Angel Gomes","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","64","Leny Yoro","LOSC Lille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","65","Tiago Santos","LOSC Lille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","66","Alexsandro","LOSC Lille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","67","Bafodé Diakité","LOSC Lille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","68","Yusuf Yazici","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","69","Edon Zhegrova","LOSC Lille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","70","Benjamin Lecomte","Montpellier Hérault SC","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","71","Akor Adams","Montpellier Hérault SC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","72","Mousa Al-Tamari","Montpellier Hérault SC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","73","Téji Savanier","Montpellier Hérault SC","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","74","Wahbi Khazri","Montpellier Hérault SC","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","75","Jordan Ferri","Montpellier Hérault SC","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","76","Joris Chotard","Montpellier Hérault SC","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","77","Falaye Sacko","Montpellier Hérault SC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","78","Khalil Fayad","Montpellier Hérault SC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","79","Kiki Kouyaté","Montpellier Hérault SC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","80","Arnaud Nordin","Montpellier Hérault SC","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","81","Dante","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","82","Terem Moffi","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","83","Gaëtan Laborde","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","84","Badredine Bouanani","OGC Nice","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","85","Youssouf Ndayishimiye","OGC Nice","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","86","Khéphren Thuram","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","87","Morgan Sanson","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","88","Youcef Atal","OGC Nice","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","89","Jean-Clair Todibo","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","90","Marcin Bułka","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","91","Melvin Bard","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","92","Evann Guessand","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","93","Pablo Rosario","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","94","Sofiane Diop","OGC Nice","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","95","Pau López","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","96","Vitinha","Olympique de Marseille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","97","Ismaïla Sarr","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","98","François Mughe","Olympique de Marseille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","99","Geoffrey Kondogbia","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","100","Valentin Rongier","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","101","Azzedine Ounahi","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","102","Jonathan Clauss","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","103","Pierre-Emerick Aubameyang","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","104","Chancel Mbemba","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","105","Renan Lodi","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","106","Iliman Ndiaye","Olympique de Marseille","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","107","Jordan Veretout","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","108","Amine Harit","Olympique de Marseille","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","109","Anthony Lopes","Olympique Lyonnais","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","110","Alexandre Lacazette","Olympique Lyonnais","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
"1","111","Jeffinho","Olympique Lyonnais","Spéciale","Base","2023/24","","TRUE","Unique","","1/1","","FALSE",""
"1","112","Maxence Caqueret","Olympique Lyonnais","Spéciale","Base","2023/24","","FALSE","Unique","","1/1","","FALSE",""
